10868 Muenchen-Oberschlssheim Observations at 12Z 16 Oct 2024
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------  
  959.0    492   14.0   10.8     81   8.55    130      6  290.6  315.0  292.1
  955.0    528   12.0    9.6     85   7.91    125      6  288.9  311.4  290.3
  930.0    753   10.5    8.9     90   7.77     90     10  289.6  311.8  290.9
  925.0    799   10.2    8.8     91   7.74    105     12  289.7  311.8  291.1
  923.0    817   10.0    8.7     92   7.70    108     13  289.7  311.7  291.1
  914.0    899   10.8    8.3     85   7.57    122     17  291.3  313.1  292.7
  909.0    945   14.0    6.3     60   6.65    130     19  295.1  314.7  296.3
  902.0   1011   18.6    3.6     37   5.52    131     18  300.5  317.2  301.5
  878.0   1242   19.4    2.4     32   5.21    134     12  303.6  319.7  304.6
  869.0   1330   18.9    2.3     33   5.21    135     10  304.1  320.2  305.0
  850.0   1520   18.0    2.0     34   5.23    160     10  305.0  321.2  305.9
  848.0   1540   18.0    2.0     34   5.24    162     10  305.2  321.5  306.2
  825.0   1770   16.2    0.8     35   4.93    185     10  305.7  321.1  306.6
  803.0   1997   14.4   -0.4     36   4.63    170     10  306.2  320.7  307.0
  776.0   2283   12.2   -2.0     37   4.28    165      8  306.8  320.3  307.6
  754.0   2524   10.3   -3.3     38   4.00    175     10  307.2  319.9  308.0
  724.0   2864    7.6   -5.1     40   3.63    195     12  307.9  319.5  308.6
  700.0   3146    5.4   -6.6     42   3.35    190     14  308.4  319.2  309.1
  677.0   3418    3.2   -9.8     38   2.70    184     14  308.9  317.7  309.4
  645.0   3808    0.1   -7.0     59   3.51    175     16  309.7  321.0  310.4
  639.0   3883   -0.5   -6.5     64   3.70    180     15  309.9  321.8  310.6
  622.0   4097   -1.6  -11.2     48   2.63    195     12  311.0  319.7  311.5
  599.0   4397   -3.1  -17.7     32   1.60    195     16  312.6  318.0  312.9
  588.0   4544   -3.9  -20.9     25   1.24    182     16  313.4  317.6  313.6
  578.0   4678   -5.0  -20.5     29   1.31    170     16  313.6  318.1  313.9
  544.0   5152   -8.9  -18.9     44   1.59    181     17  314.4  319.9  314.8
  523.0   5455  -10.5  -26.5     26   0.84    189     17  316.1  319.1  316.2
  519.0   5514  -10.9  -27.2     25   0.80    190     17  316.3  319.2  316.5
  500.0   5800  -12.7  -30.7     21   0.60    180     16  317.5  319.7  317.6
  493.0   5907  -13.3  -31.9     19   0.54    180     14  318.1  320.1  318.2
  488.0   5985  -13.7  -32.7     19   0.50    185     14  318.5  320.4  318.6
  473.0   6222  -15.0  -25.6     40   1.01    200     16  319.7  323.3  319.9
  472.0   6238  -15.1  -25.1     42   1.06    199     15  319.8  323.6  320.0
  442.0   6727  -18.5  -30.5     34   0.69    175     14  321.5  324.1  321.7
  400.0   7470  -23.7  -38.7     24   0.34    195     19  324.1  325.4  324.2
  387.0   7710  -25.7  -37.7     32   0.39    202     18  324.6  326.0  324.6
  375.0   7938  -27.5  -31.2     71   0.76    209     16  325.1  327.9  325.2
  358.0   8269  -30.3  -33.1     76   0.66    219     14  325.7  328.2  325.8
  357.0   8289  -30.5  -33.4     75   0.64    220     14  325.7  328.2  325.9
  308.0   9320  -38.7  -48.7     34   0.15    212     17  328.2  328.8  328.3
  300.0   9500  -40.5  -47.5     47   0.18    210     17  328.2  328.9  328.2
  299.0   9523  -40.7  -47.7     47   0.17    209     17  328.2  328.9  328.2
  295.0   9614  -41.0  -53.6     24   0.09    205     17  329.0  329.4  329.0
  294.0   9637  -41.1  -55.1     21   0.07    206     18  329.2  329.5  329.2
  287.0   9799  -42.5  -55.5     23   0.07    210     20  329.5  329.8  329.5
  278.0  10010  -44.5  -55.6     28   0.07    215     23  329.6  330.0  329.7
  251.0  10684  -50.9  -56.1     54   0.08    220     21  330.0  330.3  330.0
  250.0  10710  -51.1  -56.1     55   0.08    220     21  330.0  330.3  330.0
  240.0  10973  -53.7  -57.9     60   0.06    207     20  329.9  330.2  329.9
  237.0  11054  -54.5  -59.3     55   0.05    203     20  329.9  330.1  329.9
  233.0  11163  -55.1  -62.1     41   0.04    198     20  330.6  330.8  330.6
  220.0  11526  -57.9  -61.1     67   0.05    180     18  331.8  332.0  331.8
  214.0  11700  -58.7  -65.7     40   0.03    171     18  333.1  333.3  333.1
  213.0  11729  -59.0  -65.8     41   0.03    170     17  333.2  333.3  333.2
  200.0  12120  -62.7  -66.4     61   0.03    170     17  333.3  333.4  333.3
  189.0  12467  -65.7  -68.7     66   0.02    170     19  333.9  334.0  333.9
  185.0  12596  -66.5  -70.1     60   0.02    170     19  334.7  334.8  334.7
  180.0  12762  -67.5  -71.9     53   0.01    180     21  335.7  335.7  335.7
  179.0  12796  -67.7  -72.3     52   0.01    185     20  335.9  335.9  335.9
  177.0  12863  -68.1  -72.6     52   0.01    195     17  336.3  336.4  336.3
  168.0  13184  -63.2  -77.4     13   0.01    235      2  349.4  349.4  349.4
  165.0  13295  -61.6  -79.0      8   0.00    255     10  354.0  354.1  354.0
  161.0  13445  -59.3  -81.3      4   0.00    248     15  360.4  360.4  360.4
  159.0  13524  -59.2  -81.5      4   0.00    245     17  361.9  361.9  361.9
  155.0  13684  -58.9  -81.9      4   0.00    275     21  365.0  365.0  365.0
  152.0  13807  -58.6  -82.3      3   0.00    290     23  367.4  367.5  367.4
  150.0  13890  -58.5  -82.5      3   0.00    290     21  369.1  369.1  369.1
  148.0  13974  -58.3  -82.3      3   0.00    292     20  370.9  370.9  370.9
  146.0  14059  -58.5  -82.4      3   0.00    295     19  371.9  372.0  371.9
  142.0  14232  -58.9  -82.7      3   0.00    280     21  374.2  374.2  374.2
  128.0  14878  -60.5  -83.5      3   0.00    300     23  382.7  382.7  382.7
  125.0  15026  -60.8  -83.8      3   0.00    285     21  384.7  384.7  384.7
  119.0  15332  -61.5  -84.2      3   0.00    295     33  388.8  388.8  388.8
  112.0  15709  -62.4  -84.7      4   0.00    310     33  393.9  393.9  393.9
  107.0  15994  -63.1  -85.1      4   0.00    330     19  397.8  397.8  397.8
  106.0  16052  -63.1  -85.1      4   0.00    330     16  398.8  398.8  398.8
  105.0  16110  -63.2  -85.2      4   0.00    315     14  399.8  399.8  399.8
  102.0  16288  -63.2  -85.2      4   0.00    275     17  403.0  403.0  403.0
  100.0  16410  -63.3  -85.3      4   0.00    275     21  405.2  405.2  405.2
   95.0  16725  -64.0  -86.0      4   0.00    295     29  409.7  409.8  409.7
   90.0  17056  -64.8  -86.8      3   0.00    325     21  414.6  414.6  414.6
   86.7  17286  -65.3  -87.3      3   0.00    318     23  418.0  418.0  418.0
   81.0  17705  -62.5  -87.2      2   0.00    305     25  431.9  432.0  431.9
   78.3  17914  -61.1  -87.1      2   0.00    341     24  439.0  439.1  439.0
   78.0  17938  -61.1  -87.1      2   0.00    345     23  439.4  439.4  439.4
   76.0  18099  -61.5  -87.2      2   0.00    340     16  442.0  442.0  442.0
   72.0  18435  -62.1  -87.4      2   0.00    280     17  447.5  447.5  447.5
   70.0  18610  -62.5  -87.5      2   0.00    290     17  450.3  450.4  450.3
   69.8  18628  -62.5  -87.5      2   0.00    292     18  450.7  450.7  450.7
   68.0  18789  -62.4  -87.5      2   0.00    310     21  454.2  454.2  454.2
   66.0  18974  -62.4  -87.5      2   0.00    300     17  458.3  458.3  458.3
   63.0  19261  -62.2  -87.6      2   0.00    315     14  464.6  464.7  464.6
   62.0  19360  -62.2  -87.6      2   0.00    305     12  466.9  466.9  466.9
   61.0  19461  -62.2  -87.6      2   0.00    285     17  469.1  469.1  469.1
   59.0  19667  -62.1  -87.6      2   0.00    300     27  473.8  473.8  473.8
   57.0  19880  -62.0  -87.6      2   0.00    310     21  478.7  478.7  478.7
   55.0  20101  -61.9  -87.6      2   0.00    300     21  483.8  483.8  483.8
   52.0  20448  -61.8  -87.7      2   0.00    315     14  491.9  491.9  491.9
   50.0  20690  -61.7  -87.7      2   0.00    295     17  497.7  497.7  497.7
   48.0  20944  -60.5  -87.6      2   0.00    320     10  506.3  506.3  506.3
   46.3  21169  -59.5  -87.5      2   0.00    286     11  514.0  514.0  514.0
   46.0  21209  -59.7  -87.6      2   0.00    280     12  514.4  514.5  514.4
   44.0  21485  -61.2  -88.1      2   0.00    260      8  517.4  517.4  517.4
   41.0  21922  -63.6  -89.0      2   0.00    270     16  522.1  522.1  522.1
