Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      4.6907
# source time	=      0.1000
# speed of sound=    342.2432
# xpos	=  -1484.1000
# ypos	=      0.1000
# alt	=    516.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0955
# phiy  =      0.0000
# dist  =   1571.1459
# distxy=   1484.1000
# vel   =     74.8000
# n1    =     50.8310
##########################################
ZONE T="time=        4.69 airframe broadband" I=31 F=POINT
     25.3263    115.0726
     31.6578    115.2616
     39.8888    115.4866
     50.6525    115.7540
     63.3156    116.0387
     79.7777    116.3723
    101.3050    116.7614
    126.6313    117.1678
    158.2891    117.5376
    202.6100    117.6712
    253.2625    117.6161
    316.5782    117.3295
    398.8885    116.8193
    506.5251    116.1138
    633.1563    115.3947
    797.7770    114.7751
   1013.0501    114.1849
   1266.3126    113.5525
   1582.8908    112.9927
   2026.1002    112.1334
   2532.6253    111.0919
   3165.7816    110.0574
   3988.8848    108.9924
   5065.2506    107.8974
   6331.5632    106.8794
   7977.7697    105.8292
  10130.5012    104.7477
  12663.1265    103.7407
  15828.9081    102.7363
  20261.0024    101.6281
  25326.2530    100.6286
ZONE T="time=        4.69 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3263     92.8618
     31.6578     92.8618
     39.8888     92.8618
     50.6525     92.8618
     63.3156     92.8618
     79.7777     93.2201
    101.3050     93.4336
    126.6313     93.4327
    158.2891     93.3689
    202.6100     93.2790
    253.2625     93.4856
    316.5782     94.5853
    398.8885     96.9089
    506.5251    100.0457
    633.1563    103.0986
    797.7770    106.0811
   1013.0501    108.8441
   1266.3126    111.0884
   1582.8908    112.9934
   2026.1002    114.6997
   2532.6253    115.8772
   3165.7816    116.7076
   3988.8848    117.2012
   5065.2506    117.3195
   6331.5632    117.0699
   7977.7697    116.4448
  10130.5012    115.4065
  12663.1265    114.0765
  15828.9081    112.3987
  20261.0024    110.1373
  25326.2530    107.7270
ZONE T="time=        4.69 engine buzzsaw noise" I=31 F=POINT
     25.3263      4.0103
     31.6578      4.0103
     39.8888      4.0103
     50.6525      4.0103
     63.3156      4.0103
     79.7777      4.0103
    101.3050      4.0103
    126.6313      4.0103
    158.2891      4.0103
    202.6100      4.0103
    253.2625      4.0103
    316.5782      4.0103
    398.8885      4.0103
    506.5251      4.0103
    633.1563      4.0103
    797.7770      4.0103
   1013.0501      4.0103
   1266.3126      4.0103
   1582.8908      4.0103
   2026.1002      4.0103
   2532.6253      4.0103
   3165.7816      4.0103
   3988.8848      4.0103
   5065.2506      4.0103
   6331.5632      4.0103
   7977.7697      4.0103
  10130.5012      4.0103
  12663.1265      4.0103
  15828.9081      4.0103
  20261.0024      4.0103
  25326.2530      4.0103
ZONE T="time=        4.69  fan harmonics" I=5 F=POINT
   1930.2665    117.0399
   3860.5330    117.9215
   5790.7994    107.3110
   7721.0659    101.3110
   9651.3324     95.3110
##########################################
# retarded time	=      4.7642
# source time	=      0.2000
# speed of sound=    342.2444
# xpos	=  -1474.7000
# ypos	=      0.1000
# alt	=    516.3000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0233
# phiy  =      0.0000
# dist  =   1562.0717
# distxy=   1474.7000
# vel   =     74.8000
# n1    =     50.8301
##########################################
ZONE T="time=        4.76 airframe broadband" I=31 F=POINT
     25.3286    115.0771
     31.6608    115.2662
     39.8926    115.4913
     50.6572    115.7587
     63.3216    116.0435
     79.7852    116.3771
    101.3145    116.7662
    126.6431    117.1724
    158.3039    117.5422
    202.6290    117.6760
    253.2862    117.6212
    316.6078    117.3349
    398.9258    116.8246
    506.5724    116.1186
    633.2155    115.3986
    797.8516    114.7783
   1013.1449    114.1876
   1266.4311    113.5547
   1583.0388    112.9947
   2026.2897    112.1351
   2532.8621    111.0935
   3166.0777    110.0589
   3989.2579    108.9937
   5065.7243    107.8987
   6332.1553    106.8806
   7978.5157    105.8305
  10131.4485    104.7489
  12664.3107    103.7418
  15830.3884    102.7374
  20262.8971    101.6292
  25328.6214    100.6296
ZONE T="time=        4.76 engine broadband (no buzzsaw)" I=31 F=POINT
     25.3286     92.8604
     31.6608     92.8604
     39.8926     92.8604
     50.6572     92.8604
     63.3216     92.8604
     79.7852     93.2187
    101.3145     93.4322
    126.6431     93.4313
    158.3039     93.3674
    202.6290     93.2772
    253.2862     93.4829
    316.6078     94.5811
    398.9258     96.9032
    506.5724    100.0391
    633.2155    103.0916
    797.8516    106.0739
   1013.1449    108.8368
   1266.4311    111.0811
   1583.0388    112.9860
   2026.2897    114.6922
   2532.8621    115.8698
   3166.0777    116.7001
   3989.2579    117.1937
   5065.7243    117.3119
   6332.1553    117.0623
   7978.5157    116.4372
  10131.4485    115.3988
  12664.3107    114.0688
  15830.3884    112.3910
  20262.8971    110.1296
  25328.6214    107.7193
ZONE T="time=        4.76 engine buzzsaw noise" I=31 F=POINT
     25.3286      4.0103
     31.6608      4.0103
     39.8926      4.0103
     50.6572      4.0103
     63.3216      4.0103
     79.7852      4.0103
    101.3145      4.0103
    126.6431      4.0103
    158.3039      4.0103
    202.6290      4.0103
    253.2862      4.0103
    316.6078      4.0103
    398.9258      4.0103
    506.5724      4.0103
    633.2155      4.0103
    797.8516      4.0103
   1013.1449      4.0103
   1266.4311      4.0103
   1583.0388      4.0103
   2026.2897      4.0103
   2532.8621      4.0103
   3166.0777      4.0103
   3989.2579      4.0103
   5065.7243      4.0103
   6332.1553      4.0103
   7978.5157      4.0103
  10131.4485      4.0103
  12664.3107      4.0103
  15830.3884      4.0103
  20262.8971      4.0103
  25328.6214      4.0103
ZONE T="time=        4.76  fan harmonics" I=5 F=POINT
   1930.4116    117.0268
   3860.8232    117.9179
   5791.2348    107.2993
   7721.6463    101.2993
   9652.0579     95.2993
##########################################
# retarded time	=      4.9378
# source time	=      0.4000
# speed of sound=    342.2453
# xpos	=  -1465.3000
# ypos	=      0.1000
# alt	=    515.8000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0899
# phiy  =      0.0000
# dist  =   1553.0349
# distxy=   1465.3000
# vel   =     74.8000
# n1    =     50.8293
##########################################
ZONE T="time=        4.94 airframe broadband" I=31 F=POINT
     25.3264    115.0729
     31.6580    115.2619
     39.8891    115.4869
