Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      5.2021
# source time	=      0.1000
# speed of sound=    342.4376
# xpos	=  -1697.6000
# ypos	=      0.1000
# alt	=    414.4000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     32.5427
# phiy  =      0.0000
# dist  =   1747.1634
# distxy=   1697.6000
# vel   =     86.0000
# n1    =     89.8520
##########################################
ZONE T="time=        5.20 airframe broadband" I=31 F=POINT
     26.1601    100.8633
     32.7001    101.8324
     41.2021    102.8361
     52.3202    103.8736
     65.4002    104.8427
     82.4043    105.8464
    104.6403    106.8839
    130.8004    107.8530
    163.5005    108.8221
    209.2806    109.1565
    261.6008    109.2005
    327.0010    108.9353
    412.0213    108.1281
    523.2016    107.0906
    654.0020    106.1215
    824.0425    105.1178
   1046.4032    104.0803
   1308.0040    103.1112
   1635.0050    102.1421
   2092.8064    101.0700
   2616.0080    100.1009
   3270.0100     99.1318
   4120.2126     98.1281
   5232.0160     97.0906
   6540.0200     96.1215
   8240.4251     95.1178
  10464.0319     94.0803
  13080.0399     93.1112
  16350.0499     92.1421
  20928.0639     91.0700
  26160.0798     90.1009
ZONE T="time=        5.20 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1601    116.5497
     32.7001    116.5497
     41.2021    116.5497
     52.3202    116.5497
     65.4002    116.5497
     82.4043    117.4895
    104.6403    118.2761
    130.8004    118.8339
    163.5005    119.2024
    209.2806    119.4481
    261.6008    119.4573
    327.0010    119.3506
    412.0213    119.0690
    523.2016    118.5342
    654.0020    117.9221
    824.0425    117.2964
   1046.4032    116.6655
   1308.0040    116.2246
   1635.0050    116.1715
   2092.8064    116.7324
   2616.0080    117.6846
   3270.0100    118.7843
   4120.2126    119.8600
   5232.0160    120.7530
   6540.0200    121.3025
   8240.4251    121.5443
  10464.0319    121.4244
  13080.0399    120.9680
  16350.0499    120.1727
  20928.0639    118.8936
  26160.0798    117.3778
ZONE T="time=        5.20 engine buzzsaw noise" I=31 F=POINT
     26.1601     89.0512
     32.7001     89.0512
     41.2021     89.0512
     52.3202     89.0512
     65.4002     89.0512
     82.4043     92.1016
    104.6403     95.2784
    130.8004     98.2792
    163.5005    101.3287
    209.2806    104.7863
    261.6008    108.0198
    327.0010    111.3923
    412.0213    115.0697
    523.2016    117.6490
    654.0020    121.4622
    824.0425    126.1965
   1046.4032    124.3532
   1308.0040    121.7589
   1635.0050    122.2313
   2092.8064    120.5451
   2616.0080    117.5359
   3270.0100    114.5621
   4120.2126    111.5067
   5232.0160    108.3653
   6540.0200    105.4409
   8240.4251    102.4185
  10464.0319     99.2988
  13080.0399     96.3872
  16350.0499     93.4771
  20928.0639     90.2589
  26160.0798     87.3505
ZONE T="time=        5.20  fan harmonics" I=5 F=POINT
   3524.3936    139.1257
   7048.7872    130.0073
  10573.1808    115.8410
  14097.5745    106.8410
  17621.9681     97.8410
##########################################
# retarded time	=      5.2727
